Movie_ID,Name,Date,Rate,Votes,Genre,Duration,Type,Nudity,Violence,Profanity,Alcohol,Frightening
0,No Time to Die,2021,7.6,"107,163","Action, Adventure, Thriller",163 ,Film,Mild,Moderate,Mild,Mild,Moderate
1,The Many Saints of Newark,2021,6.4,"27,145","Crime, Drama",120 ,Film,Moderate,Severe,Severe,Moderate,Moderate
2,Venom Let There Be Carnage,2021,6.4,"30,443","Action, Adventure, Sci-Fi",97 ,Film,None,Moderate,Moderate,Mild,Moderate
3,Ted Lasso,2021,8.8,"117,562","Comedy, Drama, Sport",30 ,Series,Mild,None,Severe,Mild,None
4,Free Guy,2021,7.3,"153,835","Action, Adventure, Comedy",115 ,Film,Mild,Moderate,Moderate,None,Mild
5,Sex Education,2021,8.3,"220,201","Comedy, Drama",45 ,Series,Severe,Mild,Severe,Moderate,Mild
6,The Walking Dead,2021,8.2,"906,327","Drama, Horror, Thriller",44 ,Series,Mild,Severe,Moderate,Mild,Severe
7,The Chestnut Man,2021,7.9,"15,434","Crime, Drama, Mystery",50 ,Series,Mild,Moderate,Mild,None,Moderate
8,The Sopranos,2021,9.2,"340,006","Crime, Drama",55 ,Series,Severe,Severe,Severe,Severe,Severe
9,American Horror Story,2021,8.0,"296,306","Drama, Horror, Thriller",60 ,Series,Severe,Severe,Severe,Severe,Severe
10,Seinfeld,2021,8.8,"272,028",Comedy,22 ,Series,Mild,Mild,Mild,Mild,None
11,Greys Anatomy,2021,7.5,"275,094","Drama, Romance",41 ,Series,Moderate,Severe,Mild,Moderate,Moderate
12,Game of Thrones,2021,9.2,"1,885,776","Action, Adventure, Drama",57 ,Series,Severe,Severe,Severe,Moderate,Severe
13,Black Widow,2021,6.8,"246,603","Action, Adventure, Sci-Fi",134 ,Film,None,Moderate,Mild,Mild,Moderate
14,The Last Duel,2021,7.7,"6,498","Action, Drama, History",152 ,Film,Severe,Severe,Moderate,Mild,Severe
15,Alice in Borderland,2021,7.7,"33,151","Action, Fantasy, Mystery",50 ,Series,Moderate,Severe,Mild,Mild,Severe
16,ShangChi and the Legend of the Ten Rings,2021,7.9,"109,552","Action, Adventure, Fantasy",132 ,Film,None,Moderate,Mild,Mild,Mild
